code,subject,number,title,credits_min,credits_max,level,school,section_count
AAAD-A 100,AAAD,100,AF AM DANCE COMPNY FOUNDATIONS,2.0,2.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 110,AAAD,110,AF AM CHORAL ENSEMBL FOUNDATNS,2.0,2.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 113,AAAD,113,ATKINS LLC FOUNDATIONAL COURSE,1.0,1.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 120,AAAD,120,SOUL REVUE FOUNDATIONS,2.0,2.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 150,AAAD,150,SURV CULTR OF BLACK AMERICANS,3.0,3.0,100,African Am & Afri Diaspora Std (AAAD),5
AAAD-A 156,AAAD,156,JIM CROW AND APARTHEID,3.0,3.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 199,AAAD,199,SPEC TPC ARTS & HUMANITIES AAADS,3.0,3.0,100,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 221,AAAD,221,DANCE IN THE AFRICAN DIASPORA,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 238,AAAD,238,COMMUNICATION IN BLACK AMERICA,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 249,AAAD,249,AFRICAN AMERICAN AUTOBIOGRAPHY,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 263,AAAD,263,CONTEMP SOC ISS-AFR AMER COMM,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 264,AAAD,264,HIST SPORT & AFRO-AMERICAN EXPER,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),5
AAAD-A 295,AAAD,295,SURVEY OF HIP HOP,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 297,AAAD,297,POPULAR MUSIC OF BLACK AMERICA,3.0,3.0,200,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 331,AAAD,331,VISUAL ARTS HARLEM RENAISSANCE,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 337,AAAD,337,SOUL REVUE ADV STU PRACT,2.0,2.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 338,AAAD,338,AF AM DANCE CO ADV STDIES PRAC,2.0,2.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 339,AAAD,339,AACE ADV STU AND PRACT,2.0,2.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 354,AAAD,354,TRANSNATIONAL AMERICAS,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 355,AAAD,355,AFRICAN-AMERICAN HISTORY I,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 388,AAAD,388,MOTOWN,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 398,AAAD,398,ADV TPCS IN SOCIAL & HIST AAADS,3.0,3.0,300,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 479,AAAD,479,CONTEMPORARY BLACK POETRY,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 481,AAAD,481,RACISM AND THE LAW,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
AAAD-A 493,AAAD,493,SENIOR SEMINAR IN AAADS,3.0,3.0,400,African Am & Afri Diaspora Std (AAAD),1
