class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
10000,MUS-G 566,LEC,OPEN,,6,5,0,IN_PERSON,Kelly R,TUTH,10:25,12:20,MC,070
10001,MUS-O 141,LEC,OPEN,,18,11,0,,Caswell R,,,,ARR,
10002,CEUS-T 203,LEC,OPEN,,10,9,0,IN_PERSON,Kivik P,MOWEFR,11:35,12:25,WB,WEB
10003,CEUS-T 603,LEC,OPEN,,10,9,0,IN_PERSON,Kivik P,MOWEFR,11:35,12:25,WB,WEB
10004,MUS-P 110,LAB,CLOSED,,8,0,1,IN_PERSON,Yao E,MOWE,12:45,13:35,MA,315
10005,MUS-X 414,LEC,OPEN,,25,12,0,IN_PERSON,Miller A,MOWE,19:15,20:30,MA,B012
10010,NEUS-N 800,LEC,OPEN,,2,1,0,,Kawata K,,,,ARR,
10011,SPH-I 370,LAB,OPEN,,8,1,0,IN_PERSON,Hand N,WE,15:00,16:30,GF,194
10013,PSY-X 397,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10014,PSY-X 398,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10015,PSY-X 497,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10016,PSY-X 498,LEC,OPEN,,20,20,0,,Green D,,,,ARR,
10017,PSY-X 397,LEC,OPEN,,20,20,0,,Hajos N,,,,ARR,
10018,MUS-I 501,LEC,OPEN,COMPOSITION SEMINAR,1,1,0,IN_PERSON,Travers A; Yoon J,MO,19:55,20:45,SM,267
10019,CEUS-T 103,LEC,OPEN,,5,4,0,IN_PERSON,Kivik P,MOWEFR,12:45,13:35,WB,WEB
1002,AADM-Y 550,LEC,OPEN,,48,28,0,IN_PERSON,Starnes M,FR,09:00,13:00,PV,278
10020,CEUS-T 503,LEC,OPEN,,5,4,0,IN_PERSON,Kivik P,MOWEFR,12:45,13:35,WB,WEB
10021,CEUS-T 261,LEC,OPEN,,5,2,0,IN_PERSON,Legden T,MOWEFR,11:35,12:25,WB,WEB
10022,CEUS-T 661,LEC,OPEN,,5,2,0,IN_PERSON,Legden T,MOWEFR,11:35,12:25,WB,WEB
10023,GEOG-G 830,LEC,OPEN,,5,5,0,,Ficklin D; Loyal T,,,,ARR,
10024,LAW-B 501,LEC,OPEN,,100,43,0,IN_PERSON,Mattioli M,MOTUWE,08:45,10:00,LW,125
10025,LAW-B 501,LEC,OPEN,,84,24,0,IN_PERSON,Tomain J,MOTUWE,08:45,10:00,LW,122
10026,LAW-B 531,LEC,OPEN,,62,2,0,IN_PERSON,Madeira J,MOTUWE,10:35,11:50,LW,124
10027,LAW-B 531,LEC,OPEN,,5,4,0,IN_PERSON,Scott R,MOTUWE,10:35,11:50,LW,122
10028,LAW-B 531,LEC,OPEN,,100,42,0,IN_PERSON,Lubin A,MOTUWE,10:35,11:50,LW,125
10029,LAW-B 533,LEC,OPEN,,62,2,0,IN_PERSON,Cho C,MOTUWE,13:20,14:35,LW,124
1003,AADM-Y 650,LEC,OPEN,,24,10,0,IN_PERSON,Gahl-Mills K,TUTH,12:45,14:00,PV,A205
10030,LAW-B 533,LEC,OPEN,,84,25,0,IN_PERSON,Geyh C,MOTUWE,13:20,14:35,LW,122
10031,INST-I 100,LEC,OPEN,,45,12,0,IN_PERSON,Kirk G,TUTH,11:10,12:25,GA,1122
10034,SPCN-V 512,LEC,CLOSED,,30,0,5,,Ehrlich D,,,,WB,WEB
10036,MUS-J 340,LEC,OPEN,,40,28,0,IN_PERSON,Allen R; Wroth S,FR,09:15,10:00,MC,070
10037,MUS-B 110,LEC,OPEN,,10,9,0,,Tartell J,,,,ARR,
